Job Title;Employment Type;Experience Level;Expertise Level;Company Location;Salary in USD;Employee Residence;Company Size;Year
Data Engineer;Full-Time;Senior;Expert;United States;230000;United States;Medium;2023
AWS Data Architect;Full-Time;Mid;Intermediate;United States;258000;United States;Large;2023
Data Scientist;Full-Time;Senior;Expert;United States;196000;United States;Medium;2023
Data Scientist;Full-Time;Senior;Expert;United States;121000;United States;Medium;2023
Data Scientist;Full-Time;Senior;Expert;United States;219000;United States;Medium;2023
Data Scientist;Full-Time;Senior;Expert;United States;141000;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;206000;United States;Medium;2023
ML Engineer;Full-Time;Mid;Intermediate;Australia;300000;Australia;Medium;2023
ML Engineer;Full-Time;Mid;Intermediate;Australia;260000;Australia;Medium;2023
Data Analyst;Full-Time;Senior;Expert;United States;147000;United States;Medium;2023
Data Manager;Full-Time;Mid;Intermediate;United States;110000;United States;Medium;2023
Data Manager;Full-Time;Mid;Intermediate;United States;70000;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;284310;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;153090;United States;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;261500;United States;Large;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;134500;United States;Large;2023
Product Data Analyst;Contract;Entry;Junior;United States;83200;United States;Small;2023
Data Engineer;Full-Time;Senior;Expert;Germany;204500;Germany;Medium;2023
Data Engineer;Full-Time;Senior;Expert;Germany;142200;Germany;Medium;2023
Data Analyst;Full-Time;Senior;Expert;United States;106000;United States;Medium;2023
Analytics Engineer;Full-Time;Senior;Expert;United States;275300;United States;Medium;2023
Analytics Engineer;Full-Time;Senior;Expert;United States;183500;United States;Medium;2023
Data Engineer;Full-Time;Mid;Intermediate;United Kingdom;147648;United Kingdom;Medium;2023
Data Engineer;Full-Time;Mid;Intermediate;United Kingdom;123040;United Kingdom;Medium;2023
Data Scientist;Full-Time;Mid;Intermediate;United States;140000;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;136600;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;109280;United States;Medium;2023
Data Analyst;Full-Time;Senior;Expert;Colombia;84000;Colombia;Medium;2023
Data Analyst;Full-Time;Senior;Expert;Colombia;60000;Colombia;Medium;2023
Analytics Engineer;Full-Time;Mid;Intermediate;United Kingdom;73824;United Kingdom;Medium;2023
Analytics Engineer;Full-Time;Mid;Intermediate;United Kingdom;61520;United Kingdom;Medium;2023
BI Data Analyst;Full-Time;Mid;Intermediate;United States;70000;Egypt;Medium;2023
Machine Learning Developer;Freelance;Senior;Expert;Nigeria;60000;Nigeria;Medium;2021
Research Engineer;Full-Time;Senior;Expert;United States;281000;United States;Medium;2023
Data Integration Specialist;Full-Time;Entry;Junior;United States;69500;United States;Medium;2023
Data Integration Specialist;Full-Time;Entry;Junior;United States;46400;United States;Medium;2023
Data Architect;Full-Time;Senior;Expert;United States;285000;United States;Medium;2023
